experiment,association,datetime,spend(s),epochs,train.precision,train.recall,train.f1-score,train.support,valid.precision,valid.recall,valid.f1-score,valid.support,test.precision,test.recall,test.f1-score,test.support
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0005_reducelr_dropout20_greenonion_onion,greenonion_onion,2022/10/31 02:50,1207,91,1,1,1,3701,0.912726402,0.912768647,0.912746018,791,0.886086308,0.886363636,0.885847076,792
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize128_lr0.0006_reducelr_dropout20_chinesecabbage_lettuce,chinesecabbage_lettuce,2022/10/31 05:14,814,52,0.999374375,0.99937363,0.999373609,3193,0.863845911,0.863836018,0.863749876,683,0.881857291,0.881751825,0.881651616,685
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0005_reducelr_dropout20_kale_cauliflower,kale_cauliflower,2022/10/31 03:41,1040,81,1,1,1,3922,0.871246102,0.868832732,0.867354885,831,0.8818436,0.880331754,0.879320897,844
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0005_reducelr_dropout20_chinesecabbage_lettuce,chinesecabbage_lettuce,2022/10/31 04:09,651,52,0.999374375,0.99937363,0.999373609,3193,0.888773032,0.888726208,0.888741988,683,0.86425699,0.864233577,0.864243439,685
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0006_reducelr_dropout20_chinesecabbage_lettuce,chinesecabbage_lettuce,2022/10/31 04:33,606,52,0.999374375,0.99937363,0.999373609,3193,0.871512798,0.871156662,0.87096621,683,0.864200642,0.864233577,0.86420049,685
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0004_reducelr_dropout20_chinesecabbage_lettuce,chinesecabbage_lettuce,2022/10/31 05:29,611,52,0.999374457,0.99937363,0.99937365,3193,0.87386912,0.872620791,0.872704405,683,0.861403819,0.861313869,0.861342305,685
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0003_reducelr_dropout20_chinesecabbage_lettuce,chinesecabbage_lettuce,2022/10/31 06:32,638,52,0.999374457,0.99937363,0.99937365,3193,0.859413679,0.859443631,0.859421269,683,0.842300283,0.842335766,0.842310829,685
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0005_reducelr_dropout20_litchi_longan,litchi_longan,2022/10/31 03:11,627,51,1,1,1,3357,0.837151703,0.836111111,0.835984556,720,0.824703613,0.818435754,0.817510045,716
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0005_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/10/31 02:13,797,51,0.999236641,0.999235279,0.999235364,3923,0.792085605,0.791116447,0.788103121,833,0.795548818,0.79216152,0.788182648,842
fullset_224_crop70xy_correct_by_rule_efficientnetb7_contrast_epochs100_batchsize256_lr0.0004_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/11/1 05:14,851,51,0.999235355,0.999235279,0.999235251,3923,0.784390917,0.783913565,0.780948854,833,0.783709744,0.780285036,0.775729551,842
fullset_224_crop70xy_correct_by_rule_efficientnetb3_epochs100_batchsize256_lr0.0005_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/10/31 01:24,318,52,0.999235355,0.999235279,0.999235251,3923,0.784486881,0.782713085,0.778851118,833,0.78120333,0.781472684,0.779323751,842
fullset_224_crop70xy_correct_by_rule_efficientnetb7_epochs100_batchsize256_lr0.0004_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/10/31 07:06,706,51,0.999235468,0.999235279,0.999235307,3923,0.802516458,0.803121248,0.802649204,833,0.778271673,0.779097387,0.777669844,842
fullset_224_crop70xy_correct_by_rule_efficientnetb5_epochs100_batchsize256_lr0.0004_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/10/31 07:38,573,51,0.999235355,0.999235279,0.999235251,3923,0.791521475,0.792316927,0.791064126,833,0.775057234,0.775534442,0.773394136,842
fullset_224_crop70xy_correct_by_rule_efficientnetb3_epochs100_batchsize256_lr0.0005_reducelr_dropout40_broccoli_cauliflower,broccoli_cauliflower,2022/10/30 14:58,392,52,0.999235355,0.999235279,0.999235251,3923,0.801222857,0.801920768,0.800830129,833,0.77460291,0.775534442,0.77447805,842
fullset_224_crop70xy_correct_by_rule_efficientnetb7_contrast_epochs100_batchsize256_lr0.0001_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/11/1 06:05,863,53,0.998474642,0.998470558,0.998470214,3923,0.766845684,0.765906363,0.761745679,833,0.762746132,0.758907363,0.752891254,842
fullset_224_crop70xy_correct_by_rule_efficientnetb3_epochs100_batchsize256_lr0.0004_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/10/31 01:09,371,51,0.999236301,0.999235279,0.999235194,3923,0.791689976,0.792316927,0.790720111,833,0.757791928,0.758907363,0.75777272,842
fullset_224_crop70xy_correct_by_rule_efficientnetb5_sam_epochs100_batchsize256_lr0.0004_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/10/31 08:04,772,54,0.873234613,0.873311241,0.873268259,3923,0.750486749,0.75030012,0.750389082,833,0.732629656,0.731591449,0.732007168,842
fullset_224_crop70xy_correct_by_rule_efficientnetb3_contrast_epochs100_batchsize256_lr0.0004_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/11/1 04:19,399,53,0.797884843,0.79378027,0.789475562,3923,0.727022405,0.727490996,0.721996229,833,0.702617533,0.701900238,0.693096455,842
fullset_224_crop70xy_correct_by_rule_efficientnetb7_contrast_epochs100_batchsize256_lr0.0004_reducelr_dropout20_broccoli_cauliflower,broccoli_cauliflower,2022/11/1 04:40,851,51,0.731416353,0.729798624,0.7228967,3923,0.688428119,0.69027611,0.682289079,833,0.68390609,0.685273159,0.676856867,842
