item,experiment,datetime,spend(s),epochs,train.precision,train.recall,train.f1-score,train.support,valid.precision,valid.recall,valid.f1-score,valid.support,test.precision,test.recall,test.f1-score,test.support,data
22,fullset_224_crop70xy_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize64_lr0.0005_reducelr_dropout40,11:12.7,80278,100,0.926528253,0.907217172,0.901477977,76124,0.76138998,0.685884989,0.682479629,13390,1,1,1,0,fullset
18,subset_224_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,29:48.7,822,55,1,1,1,12544,0.7112,0.7128,0.7095,2639,0.6871,0.6856,0.684,2716,subset
6,subset_224_correct_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,25:41.3,822,55,1,1,1,12544,0.6997,0.6961,0.6959,2639,0.6739,0.6712,0.671,2716,subset
7,subset_224_crop30_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,37:01.0,803,55,1,1,1,12544,0.658,0.6609,0.657,2639,0.6535,0.6517,0.6498,2716,subset
8,subset_224_crop50_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,54:44.7,755,56,1,1,1,12544,0.6995,0.6961,0.6949,2639,0.6712,0.669,0.6676,2716,subset
9,subset_224_crop60_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,52:04.0,826,55,1,1,1,12544,0.7076,0.7086,0.706,2639,0.6798,0.6797,0.6773,2716,subset
19,subset_224_crop70_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,45:02.2,,,1,1,1,12544,0.728895746,0.727927245,0.726630388,2639,0.706011382,0.705081001,0.703965023,2716,subset
12,subset_224_crop70_efficientnetb2_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,38:18.9,,,1,1,1,12544,0.7139,0.712,0.7101,2639,0.6808,0.6797,0.6779,2716,subset
10,subset_224_crop70_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,52:10.0,782,57,1,1,1,12544,0.7168,0.7158,0.7136,2639,0.6849,0.6863,0.6838,2716,subset
13,subset_224_crop70_efficientnetb4_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,05:02.9,,,1,1,1,12544,0.7118,0.7116,0.7092,2639,0.6821,0.683,0.6813,2716,subset
14,subset_224_crop70_efficientnetb5_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,29:01.8,,,1,1,1,12544,0.6976,0.7006,0.6976,2639,0.6623,0.6642,0.6614,2716,subset
15,subset_224_crop70_efficientnetb6_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,59:20.6,,,1,1,1,12544,0.7005,0.7022,0.6995,2639,0.6786,0.6749,0.675,2716,subset
16,subset_224_crop70_efficientnetb7_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,02:05.2,,,1,1,1,12544,0.6948,0.6953,0.6926,2639,0.6718,0.6712,0.669,2716,subset
21,subset_224_crop70xy_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout20,15:05.6,821,54,1,1,1,12544,0.7058,0.7041,0.7029,2639,0.6788,0.6778,0.6764,2716,subset
20,subset_224_crop70xy_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,30:00.4,864,56,1,1,1,12544,0.722,0.72,0.7191,2639,0.7114,0.7095,0.7092,2716,subset
17,subset_224_crop70xy_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,17:19.9,800,55,1,1,1,12544,0.6992,0.698,0.6964,2639,0.6812,0.6775,0.6773,2716,subset
11,subset_224_crop80_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,20:11.3,781,55,1,1,1,12544,0.7148,0.7135,0.7117,2639,0.6804,0.68,0.6783,2716,subset
2,subset_224_efficientnetb3_transfer_trainable_datagen_epochs100_batchsize256_lr0.0005_reducelr_dropout20,22:24.0,934,54,0.9851,,,12544,0.6741,,,2639,0.6527,,,2716,subset
1,subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout20,42:41.4,805,54,1,1,1,12544,0.6916,0.6923,0.6894,2639,0.6637,0.6638,0.6617,2716,subset
4,subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,08:27.1,868,57,1,1,1,12544,0.72,0.7192,0.717,2639,0.6833,0.6808,0.68,2716,subset
5,subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40_county_rules,21:41.0,,,0.9951,0.9946,0.9947,12544,0.7178,0.7147,0.7135,2639,0.6877,0.6848,0.6837,2716,subset
