experiment,datetime,spend(s),epochs,train.precision,train.recall,train.f1-score,train.support,valid.precision,valid.recall,valid.f1-score,valid.support,test.precision,test.recall,test.f1-score,test.support,data
fullset_224_crop70xy_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize64_lr0.0005_reducelr_dropout40,11:12.7,80278,100,0.9272,0.9082,0.9025,62670.0000,0.7614,0.6859,0.6825,26780.0000,0.9238,0.9025,0.8966,13454,fullset
subset_224_crop70xy_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,30:00.4,864,56,1.0000,1.0000,1.0000,12544.0000,0.7220,0.7200,0.7191,2639.0000,0.7114,0.7095,0.7092,2716,subset
subset_224_crop70xy_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,08:42.5,856,57,1.0000,1.0000,1.0000,12544.0000,0.7192,0.7173,0.7162,2639.0000,0.7058,0.7047,0.7033,2716,subset
subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40_county_rules,21:41.0,,,0.9951,0.9946,0.9947,12544.0000,0.7178,0.7147,0.7135,2639.0000,0.6877,0.6848,0.6837,2716,subset
subset_224_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,29:48.7,822,55,1.0000,1.0000,1.0000,12544.0000,0.7112,0.7128,0.7095,2639.0000,0.6871,0.6856,0.6840,2716,subset
subset_224_crop70_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,52:10.0,782,57,1.0000,1.0000,1.0000,12544.0000,0.7168,0.7158,0.7136,2639.0000,0.6849,0.6863,0.6838,2716,subset
subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,08:27.1,868,57,1.0000,1.0000,1.0000,12544.0000,0.7200,0.7192,0.7170,2639.0000,0.6833,0.6808,0.6800,2716,subset
subset_224_crop70_efficientnetb4_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,05:02.9,,,1.0000,1.0000,1.0000,12544.0000,0.7118,0.7116,0.7092,2639.0000,0.6821,0.6830,0.6813,2716,subset
subset_224_crop70xy_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,17:19.9,800,55,1.0000,1.0000,1.0000,12544.0000,0.6992,0.6980,0.6964,2639.0000,0.6812,0.6775,0.6773,2716,subset
subset_224_crop70_efficientnetb2_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,38:18.9,,,1.0000,1.0000,1.0000,12544.0000,0.7139,0.7120,0.7101,2639.0000,0.6808,0.6797,0.6779,2716,subset
subset_224_crop80_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,20:11.3,781,55,1.0000,1.0000,1.0000,12544.0000,0.7148,0.7135,0.7117,2639.0000,0.6804,0.6800,0.6783,2716,subset
subset_224_crop60_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,52:04.0,826,55,1.0000,1.0000,1.0000,12544.0000,0.7076,0.7086,0.7060,2639.0000,0.6798,0.6797,0.6773,2716,subset
subset_224_crop70_efficientnetb3_transfer_trainable_epochs100_batchsize32_lr0.0005_reducelr_dropout40,12:47.3,12109,52,1.0000,1.0000,1.0000,12544.0000,0.7224,0.7219,0.7201,2639.0000,0.6793,0.6786,0.6774,2716,subset
subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize128_lr0.0005_reducelr_dropout20,22:24.0,934,54,1.0000,1.0000,1.0000,12544.0000,0.7044,0.7037,0.7017,2639.0000,0.6789,0.6789,0.6770,2716,subset
subset_224_crop70xy_correct_by_rule_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout20,15:05.6,821,54,1.0000,1.0000,1.0000,12544.0000,0.7058,0.7041,0.7029,2639.0000,0.6788,0.6778,0.6764,2716,subset
subset_224_crop70_efficientnetb6_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,59:20.6,,,1.0000,1.0000,1.0000,12544.0000,0.7005,0.7022,0.6995,2639.0000,0.6786,0.6749,0.6750,2716,subset
subset_224_correct_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,25:41.3,822,55,1.0000,1.0000,1.0000,12544.0000,0.6997,0.6961,0.6959,2639.0000,0.6739,0.6712,0.6710,2716,subset
subset_224_crop70_efficientnetb7_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,02:05.2,,,1.0000,1.0000,1.0000,12544.0000,0.6948,0.6953,0.6926,2639.0000,0.6718,0.6712,0.6690,2716,subset
subset_224_crop50_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,54:44.7,755,56,1.0000,1.0000,1.0000,12544.0000,0.6995,0.6961,0.6949,2639.0000,0.6712,0.6690,0.6676,2716,subset
subset_224_crop70_efficientnetb3_transfer_trainable_datagen_horizontal_rotation_epochs100_batchsize256_lr0.0005_reducelr_dropout40,28:08.7,1088,62,0.9946,0.9946,0.9946,12544.0000,0.6954,0.6900,0.6883,2639.0000,0.6699,0.6635,0.6626,2716,subset
subset_224_efficientnetb3_transfer_trainable_bn_epochs100_batchsize256_lr0.0005_reducelr_dropout40,47:02.1,832,56,1.0000,1.0000,1.0000,12544.0000,0.6848,0.6832,0.6808,2639.0000,0.6688,0.6672,0.6655,2716,subset
subset_224_correct_efficientnetb3_transfer_trainable_vertical_rotation_epochs100_batchsize256_lr0.0005_reducelr_dropout40,26:41.8,3072,74,0.9903,0.9902,0.9902,12544.0000,0.6866,0.6775,0.6761,2639.0000,0.6667,0.6591,0.6565,2716,subset
subset_224_efficientnetb3_transfer_trainable_datagen3_bn_epochs100_batchsize256_lr0.0005_reducelr_dropout40,53:34.5,3059,72,0.9969,0.9969,0.9969,12544.0000,0.7054,0.7010,0.7001,2639.0000,0.6659,0.6624,0.6615,2716,subset
subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout20,42:41.4,805,54,1.0000,1.0000,1.0000,12544.0000,0.6916,0.6923,0.6894,2639.0000,0.6637,0.6638,0.6617,2716,subset
subset_224_crop70_efficientnetb5_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,29:01.8,,,1.0000,1.0000,1.0000,12544.0000,0.6976,0.7006,0.6976,2639.0000,0.6623,0.6642,0.6614,2716,subset
subset_224_crop70_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout20,57:51.1,,,1.0000,1.0000,1.0000,12544.0000,0.7071,0.7067,0.7035,2639.0000,0.6583,0.6576,0.6553,2716,subset
subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0004_reducelr_dropout20,41:45.6,814,55,1.0000,1.0000,1.0000,12544.0000,0.6874,0.6840,0.6824,2639.0000,0.6578,0.6583,0.6563,2716,subset
subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_dropout40,28:39.8,837,57,0.9994,0.9994,0.9994,12544.0000,0.6883,0.6760,0.6721,2639.0000,0.6560,0.6484,0.6459,2716,subset
subset_224_crop30_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0005_reducelr_dropout40,37:01.0,803,55,1.0000,1.0000,1.0000,12544.0000,0.6580,0.6609,0.6570,2639.0000,0.6535,0.6517,0.6498,2716,subset
subset_224_efficientnetb3_transfer_trainable_datagen2_epochs100_batchsize256_lr0.0005_reducelr_dropout20,55:00.8,2789,63,0.9851,0.9849,0.9849,12544.0000,0.6741,0.6662,0.6638,2639.0000,0.6527,0.6436,0.6431,2716,subset
subset_224_correct_efficientnetb3_transfer_trainable_horizontal_rotation_epochs100_batchsize256_lr0.0005_reducelr_dropout40,20:59.3,2931,70,0.9967,0.9967,0.9966,12544.0000,0.6957,0.6915,0.6884,2639.0000,0.6518,0.6454,0.6443,2716,subset
subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.0001_reducelr_dropout20,54:58.3,871,59,1.0000,1.0000,1.0000,12544.0000,0.6530,0.6525,0.6506,2639.0000,0.6250,0.6244,0.6223,2716,subset
subset_224_efficientnetb3_transfer_trainable_epochs100_batchsize256_lr0.005_reducelr_dropout20,30:06.4,972,70,1.0000,1.0000,1.0000,12544.0000,0.6246,0.6199,0.6198,2639.0000,0.6083,0.6035,0.6044,2716,subset
subset_224_efficientnetb3_transfer_trainable_datagen2_epochs100_batchsize256_lr0.0001_reducelr_dropout20,01:37.6,3385,77,0.8950,0.8914,0.8908,12544.0000,0.6148,0.6093,0.6034,2639.0000,0.6050,0.5957,0.5920,2716,subset
subset_224_efficientnetb3_transfer_trainable_datagen_epochs100_batchsize256_lr0.0001_reducelr_dropout20,00:37.8,3387,77,0.8742,0.8638,0.8645,12544.0000,0.6184,0.5980,0.5960,2639.0000,0.5837,0.5692,0.5677,2716,subset
