,iteration,loss,train_time,params,status
0,1,-0.8950962028045065,55.09818625450134,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 3.0371600897530504, 'gpu_id': 0, 'learning_rate': 0.009346239945051318, 'max_delta_step': 0.0, 'max_depth': 4, 'min_child_weight': 16.0, 'n_estimators': 1500, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.451229388187278, 'reg_lambda': 0.16749416046709475, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
1,2,-0.8862617018940162,7.964000225067139,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.1, 'eval_metric': 'auc', 'gamma': 9.892638923157659, 'gpu_id': 0, 'learning_rate': 0.0019581225872784087, 'max_delta_step': 8.0, 'max_depth': 2, 'min_child_weight': 2.0, 'n_estimators': 300, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.23959907915235895, 'reg_lambda': 0.84571118421375, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
2,3,-0.8998456833986337,54.62320327758789,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 9.5302972238349, 'gpu_id': 0, 'learning_rate': 0.005366965956852521, 'max_delta_step': 2.0, 'max_depth': 16, 'min_child_weight': 4.0, 'n_estimators': 1200, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.5115456773261443, 'reg_lambda': 0.06378258175310991, 'subsample': 0.4, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
3,4,-0.8921578370006928,49.72903060913086,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 2.904627936590102, 'gpu_id': 0, 'learning_rate': 0.000227488503564172, 'max_delta_step': 8.0, 'max_depth': 12, 'min_child_weight': 20.0, 'n_estimators': 1200, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.22004942619962797, 'reg_lambda': 0.3157592263048269, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
4,5,-0.8912126512181012,51.43075180053711,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 8.100818164370407, 'gpu_id': 0, 'learning_rate': 0.0005285785570812121, 'max_delta_step': 18.0, 'max_depth': 10, 'min_child_weight': 10.0, 'n_estimators': 1200, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.7872005235148768, 'reg_lambda': 0.3913146401954347, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
5,6,-0.8945211481430301,16.342999696731567,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 1.6300546366194213, 'gpu_id': 0, 'learning_rate': 0.022068386353275914, 'max_delta_step': 14.0, 'max_depth': 8, 'min_child_weight': 8.0, 'n_estimators': 200, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.21311102967325835, 'reg_lambda': 0.15585667131921876, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
6,7,-0.897527489510839,37.62856411933899,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 2.6101304062480635, 'gpu_id': 0, 'learning_rate': 0.02124334163534573, 'max_delta_step': 4.0, 'max_depth': 8, 'min_child_weight': 18.0, 'n_estimators': 1300, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.5806495506578613, 'reg_lambda': 0.04814626532690558, 'subsample': 0.30000000000000004, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
7,8,-0.8871176459917526,14.33829927444458,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 6.0428237930680275, 'gpu_id': 0, 'learning_rate': 0.0005786318433397892, 'max_delta_step': 18.0, 'max_depth': 8, 'min_child_weight': 20.0, 'n_estimators': 400, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.7767477308480112, 'reg_lambda': 0.11342202873325347, 'subsample': 0.5, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
8,9,-0.8923084942465409,24.56917119026184,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.2, 'eval_metric': 'auc', 'gamma': 7.1590158888566755, 'gpu_id': 0, 'learning_rate': 0.001927229806768103, 'max_delta_step': 10.0, 'max_depth': 8, 'min_child_weight': 18.0, 'n_estimators': 600, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.530485594228135, 'reg_lambda': 0.8233427984319347, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
9,10,-0.8919178512136853,82.58872246742249,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 1.0, 'eval_metric': 'auc', 'gamma': 1.0979719829292223, 'gpu_id': 0, 'learning_rate': 0.0005311920952118234, 'max_delta_step': 8.0, 'max_depth': 14, 'min_child_weight': 2.0, 'n_estimators': 1100, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.15040572297234417, 'reg_lambda': 0.39988286866548406, 'subsample': 0.30000000000000004, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
10,11,-0.8959374875071494,17.944777727127075,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 1.63568144440565, 'gpu_id': 0, 'learning_rate': 0.005788641268488687, 'max_delta_step': 4.0, 'max_depth': 16, 'min_child_weight': 4.0, 'n_estimators': 300, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.1807799330586144, 'reg_lambda': 0.3621385195533666, 'subsample': 0.2, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
11,12,-0.8905246386564508,18.831001043319702,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 5.775684335045747, 'gpu_id': 0, 'learning_rate': 0.0006519108965713699, 'max_delta_step': 16.0, 'max_depth': 4, 'min_child_weight': 12.0, 'n_estimators': 400, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.13432917091348945, 'reg_lambda': 0.779893470717163, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
12,13,-0.8789724178871946,18.828596591949463,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.30000000000000004, 'eval_metric': 'auc', 'gamma': 4.46978754536678, 'gpu_id': 0, 'learning_rate': 0.012018610020011637, 'max_delta_step': 12.0, 'max_depth': 2, 'min_child_weight': 18.0, 'n_estimators': 800, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.46578443174377615, 'reg_lambda': 0.9162081871700335, 'subsample': 0.1, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
13,14,-0.8921755445115859,23.537999391555786,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 6.435691730415258, 'gpu_id': 0, 'learning_rate': 0.0003480090125613762, 'max_delta_step': 4.0, 'max_depth': 14, 'min_child_weight': 8.0, 'n_estimators': 500, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.3564735482847494, 'reg_lambda': 0.8348399288928767, 'subsample': 0.7000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
14,15,-0.8976773498303499,140.7025170326233,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 1.4443960936642464, 'gpu_id': 0, 'learning_rate': 0.000428801034626589, 'max_delta_step': 0.0, 'max_depth': 18, 'min_child_weight': 4.0, 'n_estimators': 900, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.439256199109868, 'reg_lambda': 0.4514485835523292, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
15,16,-0.8960496111932759,42.35593128204346,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.4, 'eval_metric': 'auc', 'gamma': 6.475756647945198, 'gpu_id': 0, 'learning_rate': 0.002689143328072708, 'max_delta_step': 2.0, 'max_depth': 16, 'min_child_weight': 8.0, 'n_estimators': 900, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.35899228818671103, 'reg_lambda': 0.6036076449822045, 'subsample': 0.4, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
