,iteration,loss,train_time,params,status
0,1,-0.892009199882577,16.56390118598938,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 2.0706576606136573, 'gpu_id': 0, 'learning_rate': 0.051954552358083134, 'max_delta_step': 3.0, 'max_depth': 2, 'min_child_weight': 4.0, 'n_estimators': 600, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.0026897836623945848, 'reg_lambda': 0.4503440713844211, 'subsample': 0.5, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
1,2,-0.8921259837213242,63.62040400505066,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 0.7820291283975993, 'gpu_id': 0, 'learning_rate': 0.01079772158419134, 'max_delta_step': 5.0, 'max_depth': 8, 'min_child_weight': 8.0, 'n_estimators': 900, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.15981062962000336, 'reg_lambda': 0.9082491422264813, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
2,3,-0.8953601283926884,7.862445592880249,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 1.0, 'eval_metric': 'auc', 'gamma': 3.0688854344832706, 'gpu_id': 0, 'learning_rate': 0.012057962627317492, 'max_delta_step': 4.0, 'max_depth': 1, 'min_child_weight': 11.0, 'n_estimators': 400, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.21212072847703412, 'reg_lambda': 0.5229597464658257, 'subsample': 0.5, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
3,4,-0.8915647284847142,19.085932970046997,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 2.167620611005253, 'gpu_id': 0, 'learning_rate': 0.0166036890257546, 'max_delta_step': 3.0, 'max_depth': 2, 'min_child_weight': 2.0, 'n_estimators': 600, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.884238181757648, 'reg_lambda': 0.8038903245688519, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
4,5,-0.8910930991232597,35.452834367752075,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 1.493531114113575, 'gpu_id': 0, 'learning_rate': 0.042023419023557135, 'max_delta_step': 6.0, 'max_depth': 12, 'min_child_weight': 11.0, 'n_estimators': 1000, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.8696018318828553, 'reg_lambda': 0.2961873966546127, 'subsample': 0.7000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
5,6,-0.8905417017788113,10.55031704902649,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 1.4418702436920694, 'gpu_id': 0, 'learning_rate': 0.0010448502166322405, 'max_delta_step': 6.0, 'max_depth': 5, 'min_child_weight': 15.0, 'n_estimators': 200, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.29440958410616047, 'reg_lambda': 0.916177709815047, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
6,7,-0.8893412991678928,5.5773327350616455,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 1.2613476598284632, 'gpu_id': 0, 'learning_rate': 0.0019112375015542555, 'max_delta_step': 3.0, 'max_depth': 8, 'min_child_weight': 7.0, 'n_estimators': 100, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.8342143659527034, 'reg_lambda': 0.5476148438656525, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
7,8,-0.8853588717708322,13.555885076522827,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 0.09419769301043202, 'gpu_id': 0, 'learning_rate': 0.003256781744527545, 'max_delta_step': 1.0, 'max_depth': 12, 'min_child_weight': 2.0, 'n_estimators': 100, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.5216803703173738, 'reg_lambda': 0.34222647573232223, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
8,9,-0.8944818269241237,3.9000701904296875,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 1.0, 'eval_metric': 'auc', 'gamma': 0.8552854643961187, 'gpu_id': 0, 'learning_rate': 0.06867841514222438, 'max_delta_step': 5.0, 'max_depth': 1, 'min_child_weight': 15.0, 'n_estimators': 200, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.5995250429409411, 'reg_lambda': 0.86140830152883, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
9,10,-0.8916705035835352,37.71232032775879,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 0.0037866452650474614, 'gpu_id': 0, 'learning_rate': 0.013445489256487394, 'max_delta_step': 3.0, 'max_depth': 6, 'min_child_weight': 15.0, 'n_estimators': 900, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.8108834208310256, 'reg_lambda': 0.17952115124134238, 'subsample': 0.4, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
